step,lambda
43011000,22.783392857142868
77256000,5.309570991984728
30394000,9.520216009090904
59561000,3.3690023360555497
98783000,13.585714989052281
12169000,14.414263559322025
8863000,15.010916363636348
27064000,18.747031249999967
88491000,7.496301945609752
7812000,15.739636857142838
79069000,7.662496833180206
41700000,20.92228181818182
73614000,13.77983699593023
88963000,9.276967536611862
47429000,21.728807792207803
27163000,18.870858285714256
77210000,5.229728711428566
17039000,16.227446198830393
51617000,23.50827912087913
66597000,3.973154908595034
25710000,18.564778313252987
46380000,22.892740476190482
92562000,8.91254337035463
51806000,18.194516388457128
67392000,3.7459087242857105
44855000,15.785817989747464
96644000,12.565020621468923
16109000,9.471577453212431
62601000,12.2034821881884
94827000,9.238631226285737
77056000,5.198026467862592
32440000,20.059727891156435
61547000,12.18927516284172
5655000,15.43434204545453
71560000,20.24748563829785
21627000,15.708324374999979
96430000,12.402347864768677
13266000,14.521070340909075
70885000,3.7781925699999968
79899000,7.439063577418173
41632000,20.655958252427194
46920000,21.91857866666668
90483000,9.243209844961239
3760000,15.949799887005629
86085000,11.682240964736835
51728000,23.124457281553408
73040000,4.051971976376807
29707000,15.826607434326657
23066000,17.321239122806993
41783000,20.842578181818187
88278000,7.4115363781981936
73014000,4.005966434682923
42287000,21.925704390243894
251000,14.645797542857126
2624000,15.413988799999984
33500000,20.673442957746456
36471000,21.024533552631553
48188000,22.140540506329128
56742000,5.583570060091735
71264000,19.29539879518071
66576000,3.9697332828333254
9822000,14.94639428571427
96826000,10.924986988791945
47128000,22.15237600000001
99524000,12.58171198529411
56043000,14.857770093333347
55057000,1.1817367748695689
22878000,16.922093333333315
64965000,4.478023870430104
85674000,5.224461515616437
60259000,14.329255476159153
82363000,9.05363444050446
29974000,13.920013185494195
9114000,15.180192114285703
37878000,12.239264696090215
76325000,7.568627407887328
94368000,10.837939228501638
42237000,22.01599259259257
6472000,15.974565649717494
61493000,12.012885898297094
34507000,21.103468707482968
9037000,15.334712159090897
52532000,11.957037831971354
50742000,23.591080722891583
95413000,12.631518747507588
62835000,12.281892323357658
15475000,9.486719777927457
36632000,20.581501437908475
209000,14.529842146892644
28500000,20.136378612716733
96657000,10.795883749999998
12107000,14.357912921348303
12942000,14.488564011299426
22307000,14.414088309464264
48087000,21.758198780487813
12392000,14.819959886363621
14630000,13.143244503712742
66824000,4.20979367150793
42716000,21.87105471544716
28039000,19.567164942528702
2422000,15.542275113636352
61332000,12.092300717137679
89961000,8.663824042553191
74249000,14.039754842229732
16507000,9.614975492349995
70840000,3.8882004806086927
15027000,9.536129405260413
1187000,14.504466306818172
77907000,10.03259644424243
1312000,14.240754566473976
34349000,20.94442269503544
38084000,16.205480641503758
36958000,20.131176607142848
13428000,14.562582897727259
39174000,15.803039259259258
18208000,15.849466477272706
51636000,22.970673
12736000,14.612397022471894
59729000,6.4506801896373025
76021000,3.8927748634399943
98611000,13.636640910032884
91340000,9.279424087591241
69185000,5.136508426190474
81908000,5.811776959242418
81643000,5.373618779193544
89862000,10.108796878615387
73944000,14.342173118630136
31911000,20.65707985611508
39077000,16.25364710144927
70699000,4.037961388702286
86718000,11.072294907061854
61642000,11.944059806521738
92513000,8.935656071151097
47362000,22.444625333333345
94578000,9.033136539583351
24054000,17.559920685714264
58547000,5.319212671822423
60593000,12.297064565492951
32352000,20.121654054054023
51095000,23.665347126436792
14812000,12.595815816253372
87490000,11.495617755212768
77775000,8.270490412588833
62882000,12.537025195434774
20497000,16.00758870056495
63410000,4.279376311666663
86924000,11.266941319157894
51928000,14.097793561999996
23999000,17.50166034090907
81078000,5.281366175571423
73361000,3.7605758159313685
90683000,8.934775038167944
13552000,14.49549857142856
94514000,10.499998329446266
3210000,15.583787045454528
84892000,12.263236912105258
54951000,1.2507605122033936
